luna,categorie,planificat_lei,cheltuit_lei
2026-01,Personal,40000,38000
2026-02,Personal,40000,38000
2026-03,Personal,40000,39000
2026-04,Personal,40000,39000
2026-05,Personal,40000,40000
2026-06,Personal,40000,40000
2026-01,Echipamente,10000,0
2026-02,Echipamente,10000,45000
2026-03,Echipamente,10000,0
2026-04,Echipamente,10000,0
2026-05,Echipamente,10000,12000
2026-06,Echipamente,10000,0
2026-01,Consumabile,8000,6000
2026-02,Consumabile,8000,7000
2026-03,Consumabile,8000,8000
2026-04,Consumabile,8000,9000
2026-05,Consumabile,8000,8000
2026-06,Consumabile,8000,7000
2026-01,Deplasari,5000,2000
2026-02,Deplasari,5000,8000
2026-03,Deplasari,5000,3000
2026-04,Deplasari,5000,11000
2026-05,Deplasari,5000,4000
2026-06,Deplasari,5000,9000
2026-01,Diseminare,6000,0
2026-02,Diseminare,6000,0
2026-03,Diseminare,6000,5000
2026-04,Diseminare,6000,0
2026-05,Diseminare,6000,8000
2026-06,Diseminare,6000,14000
2026-01,Regie,6000,6000
2026-02,Regie,6000,6000
2026-03,Regie,6000,6000
2026-04,Regie,6000,6000
2026-05,Regie,6000,6000
2026-06,Regie,6000,6000
